Ruby,   MacOS,    VS Code,    Peru,   28
Python,   Linux,    VS Code,    Peru,   31
C#,   Windows,    Visual Studio,    Peru,   30
PHP,   Windows,    PHP Storm,    Peru,   18
Java,   Windows,    IntelliJ,    Peru,   25
Rust,   Linux,    VS Code,    Peru,   29
Ruby,   Linux,    VS Code,    Peru,   30
Python, MacOS, Atom, Brasil, 22
JavaScript, Windows, VS Code, Norway, 37
Elixir, Linux, VS Code, US, 22
Python, Linux, VS Code, India, 19
Python, MacOS, PHP Storm, England, 26
Python, Linux, VS Code, Poland, 19
Python, Linux, Sublime Text, Ireland, 19
